,Companies,Farm Segment,Solution Focus,Country,All Investors,Total Funding,country,code_2,code_3,country_code,iso_3166_2,continent,sub_region,region_code,sub_region_code,Funding,region
264,Bulrush Agritech,"Livestock, Poultry, & Meats",Monitoring & Management,South Africa,Akro,0.02,South Africa,ZA,ZAF,710,ISO 3166-2:ZA,Africa,Southern Africa,2,18,20000,Africa
265,Burro,Crops,Monitoring & Management,United States,"THRIVE Accelerator, RAPID Hardware Accelerator, Ben Franklin Technology Partners of Southeastern PA, Radicle, S2G Ventures, The Fund, ff Venture Capital, SVG Ventures, ADM Capital, Cibus Fund, F-Prime Capital, Toyota Ventures",12.48,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,12480000,North America
266,Bushel,Crops,Business Planning & Finance,United States,"Falls Angel Fund, Gen7 Investments, Ha Dahl Family, MetaFarms, Thoreson Steffes Trust Company, Conti Ventures, Germin8 Ventures, Paycheck Protection Program, CGB Enterprises, Cargill, Lewis & Clark AgriFood, Scoular",88.6,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,88600000,North America
267,Bute Island Foods,"Livestock, Poultry, & Meats",Biotech,United Kingdom,"Highlands and Islands Enterprise, Saputo",0.53,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,530000,Europe
268,C3 Produce,Crops,Monitoring & Management,United States,,0.14,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,140000,North America
269,Cabbige,Multi-faceted,Distribution & Sales,United States,"MassChallenge, Freight Farms",0.42,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,420000,North America
270,Caicai,Multi-faceted,Distribution & Sales,China,"XVC Venture Capital, Hillhouse Capital Management, Morningside Technology Ventures",102.31,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,102310000,Asia
271,California Safe Soil,Crops,Monitoring & Management,United States,"Investors' Circle, Paycheck Protection Program",19.24,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,19240000,North America
272,Camanor Produtos Marinhos,Fishing & Seafood,Monitoring & Management,Brazil,Charoen Pokphand Foods,17.5,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,17500000,South America
273,Cape Productions,Multi-faceted,Monitoring & Management,United States,"Commercial Drone Fund, Madrona Venture Group, New Enterprise Associates, S-Cubed Capital, XSeed Capital, Gradient Ventures, Mitsui & Co., Telstra Ventures",7.7,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,7700000,North America
274,Capro-X,"Livestock, Poultry, & Meats",Biotech,United States,Dairy Farmers of America,0.25,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,250000,North America
275,Captain Fresh,Fishing & Seafood,Packing & Supply Chain,India,"Ankur Capital, Incubate Fund India, ADB Ventures, Amrish Rau, Jitendra Gupta, Matrix Partners India, Accel, Asish Mohapatra, Matrix Partners, Rajesh Yabaji, Ramakanth Sharma, Revant Bhate, Ruchi Kalra, Souvik Sengupta, Prosus Ventures, Tiger Global Management",107.3,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,107300000,Asia
276,Carbo Culture,Crops,Biotech,Finland,"Wave Ventures, Bragiel Brothers, David Helgason, Lifeline Ventures, Mika Ihamuotila, Starlight VC, Albert Wenger, Cherry Ventures, Dan Bragiel, Maija Itkonen, Moaffak Ahmed, Paul Bragiel, True Ventures, Ubermorgen",6.87,Finland,FI,FIN,246,ISO 3166-2:FI,Europe,Northern Europe,150,154,6870000,Europe
277,Carbon Robotics,Crops,Monitoring & Management,United States,"Bolt Innovation Group, Ignition Partners, Anthos Capital, Fuse Venture Partners, Liquid 2 Ventures, Voyager Capital",36.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,36800000,North America
278,CarbonCrop,Crops,Monitoring & Management,New Zealand,"Nelson Artificial Intelligence Institute, WNT Ventures",1.3,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,9,53,1300000,Oceania
279,Cascadia Seaweed,,Distribution & Sales,Canada,,0.29,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,290000,North America
280,Catchatrade,Fishing & Seafood,Distribution & Sales,United Kingdom,Hatch,0.06,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,60000,Europe
281,Cattle Care,"Livestock, Poultry, & Meats",Monitoring & Management,United States,"Alchemist Accelerator, T-Mobile Accelerator, Softline Venture Partners",0.04,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,40000,North America
282,Caulys,Crops,Monitoring & Management,Switzerland,Ecole Polytechnique Federale de Lausanne,0.01,Switzerland,CH,CHE,756,ISO 3166-2:CH,Europe,Western Europe,150,155,10000,Europe
283,CEA Fresh Farms,Crops,Monitoring & Management,United States,,16.75,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,16750000,North America
284,Cellibre,Crops,Biotech,United States,"Emerald Technology Ventures, Entourage Effect Capital, Flatiron Venture Partners, Paycheck Protection Program, ArcView Group, Bravos Capital, Delta Emerald Ventures, L2V Ascenseurs, Merida Capital Partners, L2 Ventures, Scott Gordon",15.94,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,15940000,North America
285,CellMEAT,"Livestock, Poultry, & Meats",Biotech,South Korea,"Primer, Primer Sazze Partners, Strong Ventures, BNK Venture Capital, Dt&Investment, JNU Holdings, Knollwood Investment Advisory, NAU IB Capital, Ryukyung PSG Asset Management, Yonsei Technology Holdings, TIPS Program",5.34,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,5340000,Asia
286,Cellular Agriculture,"Livestock, Poultry, & Meats",Biotech,United Kingdom,"Merck Accelerator, GROW",0.25,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,250000,Europe
287,CellX,"Livestock, Poultry, & Meats",Biotech,China,"Agronomics, Humboldt Fund, Lever VC, Purple Orange Ventures, K2VC, Sky9 Capital, ZhenFund",4.3,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,4300000,Asia
288,Cengea Solutions and Linnet LP I,Crops,Monitoring & Management,Canada,"GrowthWorks, Trimble",6.7,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,6700000,North America
289,Censys Technologies,Crops,Monitoring & Management,United States,"FireSpring Seed Accelerator, Kirenaga Partners",3.25,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,3250000,North America
290,Centaur Analytics,Crops,Packing & Supply Chain,United States,"Avi Reichental, OurCrowd, PJ Tech Catalyst, Detia Degesch, Marathon Venture Capital",4.34,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,4340000,North America
291,Centn,Crops,Monitoring & Management,China,Neoway,3,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,3000000,Asia
292,Ceradis,Crops,Biotech,Netherlands,"Anterra Capital, Value8, PYMWYMIC, Van Herk, Waterman Ventures",15.57,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,150,155,15570000,Europe
293,Ceres Greens,Crops,Monitoring & Management,United States,DeltaClime,0.04,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,40000,North America
294,Ceres Imaging,Crops,Monitoring & Management,United States,"Silicon Badia, Lemnos, Imagine H2O, Elemental Excelerator, Romulus Capital, Insight Partners, Plug and Play Accelerator, B37 Ventures, XTX Ventures",55.65,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,55650000,North America
295,CH4 Global,"Livestock, Poultry, & Meats",Biotech,New Zealand,"Data Collective, Stephen Tindall",16.5,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,9,53,16500000,Oceania
296,Champerche,Crops,Monitoring & Management,France,"Karot Capital, Paris Business Angels, Agence Nationale pour la Renovation Urbaine, Bpifrance, Credit Mutuel",2.61,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,2610000,Europe
297,Change Foods,"Livestock, Poultry, & Meats",Biotech,United States,"Michal Klar, Simon Newstead, Maya Hari, Tom Crago, Vikas Garg, Better Ventures, Canaccord Genuity, Clear Current Capital, GERBER-RAUTH, Jeff Dean, Plug and Play Accelerator, Plug and Play Ventures, Better Bite Ventures, Blue Horizon Ventures, Chris Smalling, Green Generation Fund, Orkla, Route 66 Ventures, Sigma Alimentos, Upfield Group",14.98,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,14980000,North America
298,Chilibeli,Crops,Distribution & Sales,Indonesia,"Alto Partners, Golden Gate Ventures, Kinesys Group, Lightspeed Venture Partners, Surge, Webuy",10,Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-Eastern Asia,142,35,10000000,Asia
299,Chip Inside,"Livestock, Poultry, & Meats",Monitoring & Management,Brazil,KPTL,0.63,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,630000,South America
300,Chouette,Crops,Monitoring & Management,France,,0.6,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,600000,Europe
301,Chunk Foods,"Livestock, Poultry, & Meats",Biotech,Israel,"E14 Fund, Good Seed Ventures, Stray Dog Capital, Massachusetts Institute of Technology",2,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,2000000,Asia
302,CiBO Technologies,Crops,Monitoring & Management,United States,"Flagship Pioneering, Generation Investment Management",77.92,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,77920000,North America
303,Cibus Global,Crops,Biotech,United States,"Finistere Ventures, Alexandria Venture Investments, Cormorant Asset Management, Fidelity Investments, Scientia Ventures",169.57,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,169570000,North America
304,Clarifruit,Crops,Distribution & Sales,Israel,"Yakhin Impact, FoodBytes!, EIC Accelerator, Firstime Venture Capital, TheTime, Horizon 2020, SAP.iO Foundry Paris",6,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,6000000,Asia
305,Clear Frontier Ag Management,Crops,Business Planning & Finance,United States,S2G Ventures,1.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1500000,North America
306,Clear Labs,Multi-faceted,Packing & Supply Chain,United States,"NAIMIgroup, Felicis, Khosla Ventures, Plug and Play Ventures, Plug and Play Accelerator, Google Ventures, Tencent Holdings, Wing Venture Capital, FoodBytes!, Menlo Ventures, Dentsu Ventures, Tyson Ventures, Redmile Group, Dafgards, HBM Genomics, Morgan Stanley, T. Rowe Price",135.55,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,135550000,North America
307,ClearAG,Crops,Monitoring & Management,United States,,0.2,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,200000,North America
308,Clearpath Robotics,Crops,Monitoring & Management,Canada,"Public Works and Government Services Canada, Inovia Capital, RRE Ventures, Eclipse Ventures, GE Ventures, Caterpillar Ventures, Silicon Valley Bank, Autonomous Vehicle Innovation Network, BMO Capital Partners, Export Development Canada, Kensington Capital Partners, McRock Capital, BDC Capital",79.79,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,79790000,North America
309,Climate FieldView,Multi-faceted,Business Planning & Finance,United States,"Allen & Company, Atomico, First Round Capital, Index Ventures, New Enterprise Associates, Code Advisors, Google Ventures, Khosla Ventures, Felicis, Founders Fund, Glynn Capital Management, Western Technology Investment, Monsanto",108.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,108800000,North America
310,ClimateMinder,Crops,Monitoring & Management,United States,Partners 1993,0.75,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,750000,North America
311,Climax Foods,"Livestock, Poultry, & Meats",Biotech,United States,"S2G Ventures, Manta Ray, Artis Ventures, At One Ventures, Canaccord Genuity Group, Embark Healthcare, Global Founders Capital, Index Ventures, Luminous VC, Prelude Ventures, Valor Equity Partners",7.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,7500000,North America
312,Cloud Agronomics,Crops,Monitoring & Management,United States,"Augment Ventures, SineWave Ventures",6,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,6000000,North America
313,Co-Fishery,Fishing & Seafood,Distribution & Sales,South Korea,"Krypton, J-CCEI, Big Basin Capital, Seoul Techno Holdings",0.81,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,810000,Asia
314,Cocogreen,Crops,Monitoring & Management,United Kingdom,"Northern Powerhouse Investment Fund, Caple, Close Brothers Group, Whitehall Finance, Circularity Capital",6.83,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,6830000,Europe
315,Cogastro,Crops,Monitoring & Management,Lithuania,"Koinvesticinis fondas, Coinvest Capital, Lithuanian Business Angel Network",0.67,Lithuania,LT,LTU,440,ISO 3166-2:LT,Europe,Northern Europe,150,154,670000,Europe
316,Combplex,Crops,Monitoring & Management,United States,"Launchpad Lift, New York State Energy Research and Development Authority (NYSERDA)",0.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,500000,North America
317,Comet Biorefining,Crops,Biotech,Canada,"Sofinnova Partners, Sustainable Development Technology Canada, Bioindustrial Innovation Canada, PM Equity Partner",8.56,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,8560000,North America
318,Community Farmers Markets,Crops,Business Planning & Finance,United States,Civic Accelerator,0.01,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,10000,North America
319,Complete Farmer,Multi-faceted,Distribution & Sales,Ghana,"DEMO Africa Casablanca, World Economic Forum Mentoring Program, Village Capital, Westerwelle Young Founders Program, Kepple Africa Ventures, Ingressive Capital, Norrsken Impact Accelerator",0.1,Ghana,GH,GHA,288,ISO 3166-2:GH,Africa,Africa,2,11,100000,Africa
320,Concentric Ag,Crops,Biotech,United States,"Cycle Capital, Desjardins, Closed Loop Capital, Red Metal Capital, TPG Alternative & Renewable Technologies, Sustainable Development Technology Canada, Cairn Investments, Pontifax AgTech",63.22,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,63220000,North America
321,Connecterra,"Livestock, Poultry, & Meats",Monitoring & Management,Netherlands,"Breed Reply, DeNA, Elias Tabet, MENA Venture Investments, European Commission, 7Percent, Acequia Capital, AgFunder, Henrik Bles, Sistema Venture Capital, ADM Capital, Kersia, PYMWYMIC",15.36,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,150,155,15360000,Europe
322,Connecting Food,Crops,Packing & Supply Chain,France,"IBM Blockchain Accelerator, EIT Food, IDIA Capital Investissement, Leadblock Partners, SAP.iO Foundry Paris",3.5,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,3500000,Europe
323,Conservis,Multi-faceted,Business Planning & Finance,United States,"Heartland Advisors, Middleland Capital, Cultivian Sandbox, Pontifax AgTech, Paycheck Protection Program",50.91,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,50910000,North America
324,Contain,Crops,Monitoring & Management,United States,Techstars,0.12,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,120000,North America
325,Continuum AG,Crops,Monitoring & Management,United States,"AgLaunch, Ag Startup Engine, Ag Ventures Alliance, Clean Energy Trust",0.66,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,660000,North America
326,Cooks Venture,"Livestock, Poultry, & Meats",Distribution & Sales,United States,"AMERRA Capital Management, Golden West Food Group, Cultivian Sandbox, John Roulac, Larry Schwartz, SJF Ventures, PIUS",142.32,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,142320000,North America
327,Corigin Solutions,Multi-faceted,Monitoring & Management,United States,Focus Ventures,4.07,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,4070000,North America
328,CosmicGreen,Crops,Biotech,South Korea,"SpringCamp, TIPS Program, Donghoon Investment",0.87,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,870000,Asia
329,Country Delight,"Livestock, Poultry, & Meats",Distribution & Sales,India,"MAN Impact Accelerator, Dvara Trust, Matrix Partners India, Orios Venture Partners, IIFL AMC, SAIF Partners",35,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,35000000,Asia
330,Cowealthy,"Livestock, Poultry, & Meats",Monitoring & Management,Turkey,"Bilisim Vadisi, Valley Growth Ventures, Bener Karadeniz, Ismail Bican, Melih Erturk, Mevlut Altunterim, Volkan Uslu, Yucel Saykal",0.4,Turkey,TR,TUR,792,ISO 3166-2:TR,Asia,Western Asia,142,145,400000,Asia
331,Cowlar,"Livestock, Poultry, & Meats",Monitoring & Management,United States,"1776 Global Challenge Cup, Pakistan StartUp Cup, Y Combinator, Ashton Kutcher, AgLaunch",0.24,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,240000,North America
332,Cricket One,Crops,Biotech,Vietnam,"Startupbootcamp FoodTech, 500 Global, Masik Enterprise, Corecam Family Office",0.02,Vietnam,,,,,Asia,Southern Asia,,,20000,Asia
333,Crocus Labs,Crops,Monitoring & Management,Germany,High-Tech Grunderfonds,0.36,Germany,DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,150,155,360000,Europe
334,Crofarm,Crops,Distribution & Sales,India,"Ashish Gupta, Himanshu Aggarwal, Mukul Singhal, Rohit Jain, Sunil Goyal, Factor(e) Ventures, Jitendra Gupta, LetsVenture, Rajan Anandan, Ashish Chand, Pravega Ventures, Ramit Sethi, Vinay Mittal, Smile Group, Inflection Point Ventures, InnoVen Capital, Omidyar Network India, Susquehanna International Group, Omidyar Network, SAI Global, WestBridge Capital",46.98,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,46980000,Asia
335,Cromai,Crops,Monitoring & Management,Brazil,"Agro Exponencial, Stoller Group",0.94,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,940000,South America
336,Crop Enhancement,Crops,Biotech,United States,"Phoenix Venture Partners, 1955 Capital, Bandgap Ventures, Spruce Capital Partners, Xeraya Capital, Cavallo Ventures, Plug and Play Accelerator, Alexandria Venture Investments, Davinia Investments",25,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,25000000,North America
337,Crop One,Crops,Monitoring & Management,United States,Band of Angels,43.41,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,43410000,North America
338,Crop Ventures,Multi-faceted,Monitoring & Management,United States,,1,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1000000,North America
339,CropDesign,Crops,Biotech,Belgium,"Atlas Venture, Gimv, Sofinnova Ventures, Burrill & Company, Gilde Healthcare Partners, ING, KBC Group, Technolife-Rothschild, BioDiscovery, KBC Private Equity, Omega Pharma, BASF",59.8,Belgium,BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,150,155,59800000,Europe
340,Cropdesk,Multi-faceted,Business Planning & Finance,United Kingdom,Innovate UK,0.32,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,320000,Europe
341,Cropin Technology Solutions,Crops,Packing & Supply Chain,India,"Ankur Capital, Sophia ApS, Wharton India Economic Forum, BEENEXT, Invested Development, Bill & Melinda Gates Foundation, Chiratae Ventures, ABC World Asia, CDC Group, Pratithi Investment Trust",30.05,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,30050000,Asia
342,CropLogic,Crops,Monitoring & Management,New Zealand,"Callaghan Innovation, Equitise",0.96,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,9,53,960000,Oceania
343,CropMetrics,Crops,Monitoring & Management,United States,"Invest Nebraska, Nelnet, CropX",2.75,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2750000,North America
344,CropSafe,Crops,Monitoring & Management,United Kingdom,Ignite NI Accelerator,0.02,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,20000,Europe
345,Croptide,Crops,Monitoring & Management,New Zealand,"Icehouse Ventures, K1W1, Masfen Group",0.67,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,9,53,670000,Oceania
346,Croptimize,Crops,Monitoring & Management,United States,CanopyBoulder,0.03,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,30000,North America
347,CropTrak,Crops,Business Planning & Finance,United States,,21.34,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,21340000,North America
348,CropX,Crops,Monitoring & Management,Israel,"Finistere Ventures, GreenSoil Investments, Innovation Endeavors, OurCrowd, Lab IX, Robert Bosch Venture Capital, ICL Group, Ireland Strategic Investment Fund, ARMADA Capital, Germin8 Ventures, Sumitomo Corporation, Tal Capital, Extreme Tech Challenge, NEC, HELM",20.5,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,20500000,Asia
349,CropZilla Software,Crops,Monitoring & Management,United States,,1.4,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1400000,North America
350,Crowde,Crops,Business Planning & Finance,Indonesia,"DBS-NUS Social Venture Challenge Asia, UMG Indonesia, CREVISSE Partners, STRIVE, Mandiri Capital, Monk's Hill Ventures",9.1,Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-Eastern Asia,142,35,9100000,Asia
351,CUBIQ FOODS,"Livestock, Poultry, & Meats",Biotech,Spain,"Moira Capital Partners, Blue Horizon",19.07,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,150,39,19070000,Europe
352,Cultiva,Crops,Packing & Supply Chain,United States,"Nevada New Markets Tax Credit Program, Advantage Capital",8.79,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,8790000,North America
353,Cultivated Biosciences,"Livestock, Poultry, & Meats",Biotech,Netherlands,Proveg Incubator,0.02,Netherlands,NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,150,155,20000,Europe
354,Cultivated Eco Systems,Crops,Biotech,Canada,Ignite Labs,0.04,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,40000,North America
355,Cultured Decadence,Fishing & Seafood,Biotech,United States,"gener8tor, Bascom Ventures, Bluestein Ventures, Dao Foods International, GlassWall Syndicate, Revolution Rise Of The Rest Seed Fund, Social Starts, Wisconsin Economic Development Corp., Good Startup, UPSIDE Foods",1.7,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1700000,North America
356,Cultyvate,Crops,Monitoring & Management,India,"YES SCALE, Villgro",0.04,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,40000,Asia
357,Cyberhawk Innovations,Crops,Monitoring & Management,United Kingdom,"Scottish Equity Partners, Scottish Investment Bank, Scottish & Southern Energy, Clydesdale Bank, Magnesium Capital",4.73,United Kingdom,GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,150,154,4730000,Europe
358,Dafengshou,Crops,Distribution & Sales,China,"China Growth Capital, Matrix Partners China, Orchid Asia Group Management, Shangde Heli, Yongchuang Capital",29,China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,142,30,29000000,Asia
359,DaNAgreen,"Livestock, Poultry, & Meats",Biotech,South Korea,"TIPS Program, Sunbo Angel Partners, Expara, Industrial Bank of Korea, JW Asset, Lighthouse Combined Investment, Hi Investment Partners, Lotte Ventures, Pathfinder H, Penture Invest, Timewise Investment",8.85,South Korea,KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,142,30,8850000,Asia
360,Daring Foods,"Livestock, Poultry, & Meats",Biotech,United States,"Rastelli Foods Group, Brian Swette, Good Friends, Maveron, Michael Smith, Palm Tree Crew Investments, Stray Dog Capital, Aubrey Drake Graham, D1 Capital Partners, Cam Newton, Chase Coleman, Founders Fund, Naomi Osaka, Steve Aoki",124.44,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,124440000,North America
361,DataLand,Multi-faceted,Business Planning & Finance,Brazil,"GHT4, Potato Valley Ventures",0.96,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,960000,South America
362,Decisive Farming,Crops,Monitoring & Management,Canada,"Accelerate Fund, Export Development Canada, McRock Capital, Accelerator Fund, TELUS",8.48,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,8480000,North America
363,DeepGreen,Crops,Monitoring & Management,United States,CanopyBoulder,0.35,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,350000,North America
364,Degas,Crops,Business Planning & Finance,Japan,"Heart Driven Fund, Primal Capital",2.29,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,2290000,Asia
365,DeHaat,Crops,Distribution & Sales,India,"AgFunder, Omnivore Partners, Pankaj Chaddah, Trifecta Capital Advisors, FMO, Sequoia Capital India, Prosus Ventures, RTP Global, Lightrock, Sofina, Temasek",164.14,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,164140000,Asia
366,Delair-Tech,Multi-faceted,Monitoring & Management,France,"Andromede, Bpifrance, Intel Capital",14.5,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,14500000,Europe
367,Deliciou,"Livestock, Poultry, & Meats",Biotech,Australia,"Startmate, Stray Dog Capital",0.08,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,80000,Oceania
368,Deliveristo,Multi-faceted,Distribution & Sales,Italy,"Doorway, Gellify, IAG Capital Partners, Metrica Ventures, Seven Fund, United Ventures",5.47,Italy,IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,150,39,5470000,Europe
369,DELOS,"Livestock, Poultry, & Meats",Business Planning & Finance,Indonesia,"Arise, Hendra Kwik, Irvan Kolonas, MDI Ventures, Number Capital, iSeed SEA, Alpha JWC Ventures, Alto Partners, Centauri Fund, James Prananto, Mahanusa Capital",8,Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-Eastern Asia,142,35,8000000,Asia
370,Demand Side Instruments,Crops,Monitoring & Management,France,Gedia Energies,4.08,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,4080000,Europe
371,Demetria,Crops,Biotech,Colombia,"Celeritas, Mercantil Colpatria",4.45,Colombia,CO,COL,170,ISO 3166-2:CO,Americas,South America,19,5,4450000,South America
372,DeNova,"Livestock, Poultry, & Meats",Biotech,Canada,"Canada's Ocean Supercluster, Sandpiper Ventures",2.6,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,2600000,North America
373,desamis,"Livestock, Poultry, & Meats",Monitoring & Management,Japan,"Nakata Asset Management, Soara Capital Strategies, ASTMAX, Mitsubishi UFJ Capital, SBI Investment, TUSIMCo",1.27,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,1270000,Asia
374,Descartes Labs,Crops,Monitoring & Management,United States,"Correlation Ventures, Crosslink Capital, Cultivian Sandbox, Data Collective, TenOneTen Ventures, ValueStream, New Mexico Economic Development Department, Defense Advanced Research Projects Agency, Cargill, March Capital Partners, Plug and Play Accelerator, Ajax Strategies, Union Grove Venture Partners, AWS Space Accelerator",58.46,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,58460000,North America
375,deVGen,Crops,Biotech,Belgium,"Abingworth, Advent Venture Partners, Biotech Fonds Vlaanderen, Gimv, ING, KBC Group, Life Sciences Partners, Mercator Investments, Capricorn Partners, PolyTechnos Venture-Partners, Syngenta",37.1,Belgium,BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,150,155,37100000,Europe
